customerNumber,customerName,phone,addressLine1,city,postal code,creditLimit,Country,Latitude,Longitude
219,Boards & Toys Co.,3105552373,4097 Douglas Av.,Glendale,92561,11000,Canada,56.1304,-106.3468
223,Nat�rlich Autos,0372-555188,Taucherstra�e 10,Cunewalde,01307,,Spain,40.4637,-3.7492
227,Heintze Collectables,86 21 3555,Smagsloget 45,�rhus,8200,120800,USA,37.0902,-95.7129
233,Qu�bec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montr�al,H1J 1C3,48700,UK,55.3781,-3.436
237,ANG Resellers,(91) 745 6555,"Gran V�a, 1",Madrid,28001,,France,46.2276,2.2137
239,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,91217,105000,Germany,51.1657,10.4515
240,giftsbymail.co.uk,(198) 555-8888,Garden House,Cowes,PO31 7PJ,93900,Italy,41.8719,12.5674
242,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,61100,France,46.2276,2.2137
247,Messner Shopping Network,069-0555984,Magazinweg 7,Frankfurt,60528,61100,France,46.2276,2.2137
249,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,113000,Germany,51.1657,10.4515
250,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,68100,Canada,56.1304,-106.3468
256,Auto Associ�s & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,77900,Germany,51.1657,10.4515
259,"Toms Spezialit�ten, Ltd",0221-5554327,Mehrheimerstr. 369,K�ln,50739,120400,Australia,-25.2744,133.7751
260,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,89600,Italy,41.8719,12.5674
273,"Franken Gifts, Co",089-0877555,Berliner Platz 43,M�nchen,80805,61100,Australia,-25.2744,133.7751
276,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,2060,107800,USA,37.0902,-95.7129
278,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,Bergamo,24100,119600,Switzerland,46.8182,8.2275
282,Souveniers And Things Co.,+61 2 9495 8555,Monitor Money Building,777,2067,,Switzerland,46.8182,8.2275
286,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,123700,Norway,60.472,8.4689
293,BG&E Collectables,+41 26 425 50 01,Rte des Arsenaux 41 ,Fribourg,1700,61100,Netherlands,52.1326,5.2913
298,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gen�ve,1203,141300,Germany,51.1657,10.4515
299,"Norway Gifts By Mail, Co.",+47 2212 1555,Drammensveien 126A,Oslo,N 0106,95100,Finland,61.9241,25.7482
303,Schuyler Imports,+31 20 491 9555,Kingsfordweg 151,Amsterdam,1043 GR,61100,Belgium,50.5039,4.4699
307,Der Hund Imports,030-0074555,Obere Str. 57,Berlin,12209,61100,USA,37.0902,-95.7129
311,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,90500,USA,37.0902,-95.7129
314,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,79900,USA,37.0902,-95.7129
319,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,102700,New Zealand,-40.9006,174.886
320,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,94500,UK,55.3781,-3.436
321,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,94217,105000,USA,37.0902,-95.7129
323,"Down Under Souveniers, Inc",+64 9 312 5555,162-164 Grafton Road,Auckland  ,,88000,Australia,-25.2744,133.7751
324,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,77000,Finland,61.9241,25.7482
328,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,43000,Germany,51.1657,10.4515
333,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,51600,USA,37.0902,-95.7129
334,Suominen Souveniers,+358 9 8045 555,Software Engineering Center,Espoo,FIN-02271,98800,Spain,40.4637,-3.7492
335,"Cramer Spezialit�ten, Ltd",0555-09555,Maubelstr. 90,Brandenburg,14776,,USA,37.0902,-95.7129
339,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,81100,Ireland,53.4129,-8.2439
344,CAF Imports,+34 913 728 555,Merchants House,Madrid,28023,59600,France,46.2276,2.2137
347,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Los Angeles,91003,57700,France,46.2276,2.2137
348,"Asian Treasures, Inc.",2967 555,8 Johnstown Road,Cork,,61100,South Africa,-30.5595,22.9375
350,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,65000,New Zealand,-40.9006,174.886
353,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,81100,Germany,51.1657,10.4515
356,"SAR Distributors, Co",+27 21 550 3555,1250 Pretorius Street,Hatfield,0028,61100,USA,37.0902,-95.7129
357,GiftsForHim.com,64-9-3763555,199 Great North Road,Auckland,,77700,USA,37.0902,-95.7129
361,Kommission Auto,0251-555259,Luisenstr. 48,M�nster,44087,61100,Portugal,39.3999,-8.2245
362,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,41900,Switzerland,46.8182,8.2275
363,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,114200,USA,37.0902,-95.7129
369,"Lisboa Souveniers, Inc",(1) 354-2555,Jardim das rosas n. 32,Lisboa,1675,,Belgium,50.5039,4.4699
376,Precious Collectables,0452-076555,Hauptstr. 29,Bern,3012,61100,Austria,47.5162,14.5501
379,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,70700,Philippines,12.8797,121.774
381,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,B-6000,23500,Italy,41.8719,12.5674
382,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,71700,Japan,36.2048,138.2529
385,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street,Makati City,1227 MM,81500,France,46.2276,2.2137
386,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,121400,Germany,51.1657,10.4515
398,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,94400,New Zealand,-40.9006,174.886
406,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,95000,Germany,51.1657,10.4515
409,Stuttgart Collectable Exchange,0711-555361,Adenauerallee 900,Stuttgart,70563,61100,USA,37.0902,-95.7129
412,"Extreme Desk Decorations, Ltd",04 499 9555,101 Lambton Quay,Wellington,,86800,Germany,51.1657,10.4515
415,"Bavarian Collectables Imports, Co.", +49 89 61 08 9555,Hansastr. 15,Munich,80686,77000,USA,37.0902,-95.7129
424,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,67500,Sweden,60.1282,18.6435
443,"Feuer Online Stores, Inc",0342-555176,Heerstr. 22,Leipzig,04179,,USA,37.0902,-95.7129
447,Gift Ideas Corp.,2035554407,2440 Pompton St.,Glendale,97561,49700,Austria,47.5162,14.5501
448,Scandinavian Gift Ideas,0695-34 6555,�kergatan 24,Br�cke,S-844 67,116400,USA,37.0902,-95.7129
450,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,94217,77600,USA,37.0902,-95.7129
452,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,45300,Spain,40.4637,-3.7492
455,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,95400,Germany,51.1657,10.4515
456,Microscale Inc.,2125551957,5290 North Pendale Street,NYC,10022,39800,USA,37.0902,-95.7129
458,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,104600,Spain,40.4637,-3.7492
459,Warburg Exchange,0241-039123,Walserweg 21,Aachen,52066,61100,Australia,-25.2744,133.7751
462,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,85800,Italy,41.8719,12.5674
465,"Anton Designs, Ltd.",+34 913 728555,"c/ Gobelas, 19-1 Urb. La Florida",Madrid,28023,61100,USA,37.0902,-95.7129
471,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,60300,Germany,51.1657,10.4515
473,Frau da Collezione,+39 022515555,20093 Cologno Monzese,Milan,,34800,Russia,61.524,105.3188
475,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,55400,Israel,31.0461,34.8516
477,Mit Vergn�gen & Co.,0621-08555,Forsterstr. 57,Mannheim,68306,61100,Spain,40.4637,-3.7492
480,"Kremlin Collectables, Co.",+7 812 293 0521,2 Pobedy Square,Saint Petersburg,196143,61100,USA,37.0902,-95.7129
481,"Raanan Stores, Inc",+ 972 9 959 8555,3 Hagalim Blv.,Herzlia,47625,61100,USA,37.0902,-95.7129
484,"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,65700,UK,55.3781,-3.436
486,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,71270,72600,USA,37.0902,-95.7129
487,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,94217,60300,New Zealand,-40.9006,174.886
489,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,London,WA1 1DP,43300,,,
495,Diecast Collectables,6175552555,6251 Ingle Ln.,Boston,51003,85100,,,
496,Kelly's Gift Shop,+64 9 5555500,Arenales 1938 3'A',Auckland  ,,110000,,,
